"plot","ostwert","nordwert","hoehe_z","hoehe"
"S02",566695.383,5712524.386,291.667,248
"S01",566659.82,5712475.392,287.097,244
"S06",566668.336,5712380.944,283.004,239
"S08",566747.805,5712315.91,284.097,241
"S09",566650.005,5712330.727,278.666,236
"S10",566597.088,5712312.878,274.012,231
"S11",566579.563,5712357.726,274.214,231
"S12",566559.544,5712277.19,269.066,226
"S03",566736.672,5712468.201,299.619,257
"S04",566726.73,5712413.092,291.878,247
"S05",566775.776,5712368.935,289.469,247
"S07",566708.123,5712339.471,282.419,239
